sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
57,Green gram (whole),100.0,10.4,24.0,1.3,56.7,3.5,4.1,335.0,124.0,326.0,7.3,94.0,0.0,0.47,0.39,2.1,1
58,Green peas dry,100.0,10.11,23.33,1.03,61.3,2.83,3.71,348.0,,311.0,1.86,,,,,,1
59,Mung dal (yellow),100.0,8.77,26.71,0.93,58.0,3.87,1.71,348.0,,426.0,1.17,,,,,,1
60,Horsegram black,100.0,11.8,22.0,0.5,57.2,3.2,5.3,321.0,287.0,311.0,6.77,71.0,,0.42,0.2,1.5,1
61,Horsegram red,100.0,12.7,21.11,0.85,57.4,3.83,4.12,322.0,,,,,,,,,1
62,Khesari dal,100.0,10.0,28.2,0.6,56.6,2.3,2.3,345.0,90.0,317.0,6.3,120.0,,0.39,0.17,2.9,1
63,Katike Cow Pea,100.0,10.85,22.86,1.56,56.1,3.6,5.1,330.0,9.0,,,,,,,,1
64,Kause bean,100.0,9.5,18.04,5.26,62.5,3.81,0.88,369.0,,,,,,,,,4
65,Lentil,100.0,12.4,25.1,0.7,59.0,2.1,0.7,343.0,69.0,293.0,7.5,270.0,,0.45,0.2,2.6,1
66,Moth beans,100.0,10.8,23.6,1.1,56.6,3.5,4.5,330.0,202.0,230.0,9.5,9.0,2.0,0.45,0.09,1.5,1
67,Moth beans (Yellow),100.0,10.57,22.95,0.46,59.1,3.68,3.27,358.0,,279.0,9.13,,,,,,1
68,Moth beans (Red),100.0,9.12,19.74,0.7,62.7,4.1,3.63,336.0,,,,,,,,,1
69,Peas (dry),100.0,16.0,19.7,1.9,55.7,2.2,4.5,319.0,75.0,298.0,7.05,39.0,0.0,0.47,0.19,3.4,1
70,Rajmah,100.0,12.0,22.9,1.3,60.6,3.2,4.8,346.0,260.0,410.0,5.1,,,,,,1
71,Red gram dal,100.0,13.4,22.3,1.7,57.6,3.5,1.5,335.0,73.0,304.0,2.7,132.0,,0.45,0.19,2.9,1
72,Soyabean (black),100.0,12.1,33.3,15.0,31.3,4.0,4.3,393.0,213.0,509.0,9.5,10.0,,0.65,0.23,2.8,1
73,Soyabean (Brown),100.0,8.1,43.2,19.5,20.9,4.6,3.7,432.0,240.0,690.0,10.4,426.0,,0.73,0.39,3.2,1
74,Soyabean (white),100.0,10.2,33.3,17.7,29.6,5.0,4.2,411.0,226.0,546.0,8.5,10.0,0.0,0.66,0.22,2.2,1
75,Tarbare Simi (red),100.0,12.0,23.52,1.42,57.8,3.98,1.24,338.0,,,,,,,,,1
76,Sprout bean,,85.0,13.0,0.2,0.5,0.5,0.8,56.0,5.7,46.0,3.8,,16.8,,,,0
77,White peas big,100.0,12.3,23.3,0.8,58.0,2.5,3.1,332.0,11.0,348.0,5.3,,,,,,1
78,White bean,100.0,13.66,22.6,1.42,56.6,4.81,1.42,330.0,,434.0,3.8,,,,,,1
79,Mung (Titura),100.0,8.6,26.2,1.3,59.5,3.5,0.9,355.0,11.0,394.0,4.8,,,,,,1
80,Tofu (Soybean product),,80.5,16.5,0.3,1.6,1.1,0.03,75.0,18.4,144.0,1.0,,,,,,0
81,Nutrila (Soybean),100.0,10.0,46.9,1.0,33.2,6.4,1.4,329.0,33.0,565.0,12.8,,,,,,1
82,Amaranth (spined),,85.0,3.0,0.3,7.0,3.6,1.1,43.0,800.0,50.0,22.9,3504.0,33.0,0.0,,,0
83,Amaranth (tender),,85.7,4.0,0.5,6.1,2.7,1.0,45.0,397.0,83.0,3.49,5520.0,99.0,0.03,0.3,1.2,0
84,Asparagus (Kurilo),86.8,92.5,3.3,0.1,2.7,0.6,0.8,25.0,30.6,45.5,1.3,,12.8,,,,0
85,Agathi,,73.1,8.4,1.4,11.8,3.1,2.2,93.0,1130.0,80.0,3.9,5400.0,169.0,0.21,0.09,1.2,0
86,Aniseed leaves,84.0,88.46,2.86,0.59,5.2,1.71,1.15,38.0,119.9,63.0,4.51,1575.52,42.31,,,,0
87,Bethel leaves,,89.6,3.7,0.4,2.9,2.6,0.8,30.0,150.0,80.0,4.2,1740.0,35.0,0.01,0.14,0.6,0
88,Beet green,51.0,86.4,3.4,0.8,6.5,2.2,0.7,46.0,380.0,30.0,16.2,5862.0,70.0,0.26,0.56,3.3,0
89,Buckwheat leaves,,89.78,3.92,0.11,3.8,1.86,0.87,31.0,,,,,81.85,,,,0
90,Bengalgram leaves,92.0,73.4,7.0,1.4,14.1,2.1,2.0,97.0,340.0,120.0,23.8,978.0,61.0,0.09,0.1,0.6,0
91,Bottleguard leaves,,87.9,2.3,0.7,6.1,1.7,1.3,39.0,80.0,59.0,,,,,,,0
92,Broadbean leaves,,77.6,5.6,0.3,11.5,1.3,1.7,71.0,111.0,149.0,,,,,,,0
93,Brussels sprouts,100.0,85.5,4.7,0.5,7.1,1.0,1.2,52.0,43.0,82.0,1.8,126.0,72.0,0.05,0.16,0.4,0
94,Cabbage green,88.0,91.9,1.8,0.1,4.6,0.6,1.0,27.0,39.0,44.0,0.8,120.0,124.0,0.06,0.09,0.4,0
95,Cabbage purple,90.0,91.6,1.9,0.2,3.5,0.6,2.2,11.0,22.7,50.4,1.1,,,,,,0
96,"Cauliflower, Green",71.0,80.0,5.9,1.3,7.6,3.2,2.0,66.0,626.0,107.0,40.0,,,,,,0
97,Cauliflower (flower only),100.0,88.48,0.75,2.4,6.6,,0.25,41.0,11.51,74.63,0.85,,86.62,,,,0
98,Choisum Sag,,88.1,2.7,0.3,6.4,1.0,1.5,39.0,65.2,91.0,1.5,,10.3,,,,0
99,Chukandar,87.4,87.9,2.8,0.1,7.8,1.0,0.4,43.0,20.0,53.3,1.3,,,,,,0
100,Chocho leaves,71.07,91.42,3.01,0.21,3.2,1.19,1.01,27.0,42.53,76.38,2.26,1042.66,11.92,,,,0
101,Coriander leaves,70.0,86.3,3.3,0.6,6.3,2.3,1.2,44.0,184.0,71.0,1.42,6918.0,135.0,0.05,0.06,0.8,0
102,Carrot leaves,51.0,76.6,5.1,0.5,13.1,2.8,1.9,77.0,340.0,110.0,8.8,5700.0,79.0,0.04,0.37,2.1,0
103,Celery leaves,,88.0,6.3,0.6,1.6,2.1,1.4,37.0,230.0,140.0,6.3,3990.0,62.0,0.0,0.11,1.2,0
104,Colocasia leaves (Black variety),,78.8,6.8,2.0,8.1,2.5,1.8,77.0,460.0,125.0,0.98,12000.0,63.0,0.06,0.45,1.9,0
105,Colocasia leaves (Green variety),,82.7,3.9,1.5,6.8,2.2,2.9,56.0,227.0,82.0,10.0,10278.0,12.0,0.22,0.26,1.1,0
106,Colocasia leaves (dried),,9.3,13.7,5.9,42.3,12.8,16.0,277.0,1546.0,308.0,,,,,,,3
107,Cowpea leaves,,89.0,3.4,0.7,4.1,1.6,1.2,38.0,290.0,58.0,20.1,6918.0,4.0,0.05,0.18,0.6,0
108,Dundu,,91.39,2.57,0.9,3.66,1.16,1.22,25.0,86.22,,,,11.92,,,,0
109,Drumstick leaves,75.0,75.9,6.7,1.7,12.5,2.3,0.9,92.0,440.0,70.0,0.85,6780.0,220.0,0.06,0.05,0.8,0
110,Fenugreek leaves,59.0,86.1,4.4,0.9,6.0,1.5,1.1,49.0,395.0,51.0,1.93,2340.0,52.0,0.04,0.31,0.8,0
111,Garden cress,,82.3,5.8,1.0,8.7,2.2,1.5,67.0,360.0,110.0,28.6,,,0.15,,,0
112,Garden sorrel,100.0,91.9,0.6,0.2,5.1,0.9,1.3,25.0,130.0,20.0,1.7,78.0,5.0,0.0,0.07,1.2,0
113,Garlic (stem & leaves),92.0,79.5,2.4,0.5,15.1,0.9,1.6,76.0,53.0,42.0,0.6,845.0,36.0,0.1,0.13,0.6,0
114,Gyanth Kobi,,89.6,2.6,1.0,6.0,0.63,0.2,43.0,19.3,50.8,13.2,,8.6,,,,0
115,Gyanth Kobi Leaves,,86.0,2.8,0.5,9.7,0.2,0.8,56.0,31.1,56.0,0.1,,10.1,,,,0
116,Gothale Sag,,83.8,2.07,0.4,9.6,2.06,2.01,51.0,274.0,,,,31.6,,,,0
117,jaluka Saag,,87.0,2.4,0.43,5.5,1.66,3.02,35.0,254.45,49.0,3.6,,3.25,,,,0
118,Khesari leaves,,84.2,6.1,1.0,5.5,1.1,2.1,55.0,160.0,100.0,7.3,3000.0,41.0,0.01,0.03,,0
119,Koiralo Sag,,78.1,3.6,1.0,9.7,2.1,5.5,62.0,312.0,92.0,,,,,,,0
120,Khole garden cress,,89.16,3.5,0.4,4.4,1.57,0.95,35.0,113.0,,,,,,,,0
121,Knol-knol green,73.0,86.7,3.5,0.4,6.4,1.2,1.8,43.0,740.0,50.0,13.3,4146.0,157.0,0.25,,3.0,0
122,Kitchen garden pesley,51.0,90.5,2.4,0.6,2.9,2.3,1.3,27.0,111.0,45.0,14.8,2292.0,29.0,0.22,0.7,29.0,0
123,lettuce,66.0,93.4,2.1,0.3,2.5,1.2,0.5,21.0,50.0,28.0,2.4,990.0,10.0,0.09,0.13,0.5,0
124,love-lies bleeding,,90.0,3.0,0.7,2.0,3.3,1.0,26.0,200.0,40.0,,,,,,,0
125,Mint,45.0,84.9,4.8,0.6,5.8,1.9,2.0,48.0,200.0,62.0,15.6,1620.0,27.0,0.05,0.26,1.0,0
126,Mustard leaves,,89.8,4.0,0.6,3.2,1.6,0.8,34.0,155.0,26.0,16.3,2622.0,33.0,0.03,,,0
127,Nakore sag,,87.16,2.49,0.18,8.0,1.26,0.89,44.0,83.54,,,,84.39,,,,0
128,Niguro green,,93.25,1.15,0.15,3.4,,0.99,19.0,,117.0,1.03,,6.2,0.03,0.0,1.5,0
129,Neem leaves tender,100.0,59.4,11.6,3.0,21.2,2.6,2.2,158.0,130.0,190.0,25.3,2760.0,104.0,0.03,0.0,1.5,0
130,Poisag,,90.8,2.8,0.4,4.2,1.8,1.5,32.0,200.0,35.0,1.0,7440.0,87.0,0.03,0.16,1.0,0
131,Patua sag,,81.4,5.1,1.1,8.1,2.7,1.6,63.0,241.0,93.0,,,,,,,0
132,Potato leaves,,88.4,4.4,0.9,3.6,1.8,1.3,40.0,120.0,50.0,,,,,,,0
133,Pumpkin leaves,,81.9,4.6,0.8,6.9,3.7,2.1,53.0,392.0,112.0,,497.9,,,,,0
134,Purple Cabbage,90.0,91.6,1.9,0.2,52.0,0.6,2.2,66.0,22.7,50.4,1.1,,,,,,0
135,Rape leaves,,84.9,5.1,0.4,5.9,2.5,1.2,48.0,370.0,110.0,12.5,130.0,65.0,0.01,0.03,0.9,0
136,Radish leaves,100.0,90.8,3.8,0.4,2.4,1.6,1.0,28.0,265.0,59.0,0.9,1300.86,81.0,0.18,0.47,0.8,0
137,Rapes leaves dried,,7.4,27.0,2.9,40.7,15.3,6.7,297.0,3095.0,500.0,,,,,,,1
138,Safflower leaves,66.0,91.1,2.5,0.6,4.5,1.3,1.5,33.0,185.0,35.0,5.7,3540.0,15.0,0.04,0.1,0.0,0
139,Sim saag fresh,79.0,93.74,2.4,0.44,1.5,1.23,0.67,20.0,127.07,52.72,3.2,2685.31,,,,,0
140,Spinach,,92.1,2.0,0.7,2.9,1.7,0.6,26.0,73.0,21.0,1.14,,28.0,0.03,0.26,0.5,0
141,Stinging Nettle (Sisnu) leaves,,81.7,6.9,0.2,5.0,4.2,1.8,53.0,981.3,,,,5.5,,,,0
142,Soya leaves,,79.5,6.0,0.5,10.8,3.2,1.5,72.0,180.0,190.0,8.0,,,0.16,,,0
143,Sweet potato green leaves,100.0,80.7,4.2,0.8,9.7,2.2,2.4,63.0,360.0,60.0,1.14,750.0,27.0,0.24,1.7,27.0,0
144,Sweetchard,100.0,90.1,2.21,0.24,5.3,1.44,0.7,32.0,86.4,26.8,4.57,2660.0,33.83,,,,0
145,Tamarind leaves tender,,8.9,8.6,3.0,60.9,8.5,10.1,305.0,1485.0,124.0,,,,,,,4
146,Tanki Sag,100.0,45.6,1.3,0.8,44.2,4.2,3.7,190.0,361.0,,6.1,,9.5,,,,0
147,Thai spinach,,89.1,2.3,0.3,6.1,1.4,0.8,36.0,79.5,64.8,2.4,,10.0,,,,0
148,Turnip green leaves,51.0,81.9,4.0,1.5,9.4,2.2,1.0,67.0,710.0,60.0,24.4,2136.0,180.0,0.31,0.57,5.4,0
149,Ashgourd,67.0,96.5,0.4,0.1,1.9,0.3,0.8,10.0,30.0,20.0,0.8,0.0,1.0,0.06,0.01,0.4,0
150,Agathi flower,,92.9,1.0,0.5,4.4,0.4,0.8,26.0,9.0,5.0,,,,,,,0
151,Bitter gourd,97.0,92.4,1.6,0.2,4.2,0.8,0.8,25.0,20.0,70.0,0.61,126.0,88.0,0.07,0.09,0.5,0
152,Barela,80.0,90.43,0.99,0.26,6.7,0.81,0.79,33.0,143.65,50.99,2.0,,6.86,,,,0
153,Bottle gourd,86.0,96.1,0.2,0.1,2.5,0.5,0.6,12.0,20.0,10.0,0.46,0.0,0.0,0.03,0.01,0.2,0
154,Brinjal,91.0,92.7,1.4,0.3,4.0,0.3,1.3,24.0,18.0,47.0,0.37,74.0,12.0,0.04,0.11,0.9,0
155,Broadbeans,88.0,85.4,4.5,0.1,7.2,0.8,2.0,48.0,50.0,64.0,1.4,9.0,12.0,0.08,,0.8,0
156,Bamboo shoot (tender),54.0,88.8,3.9,0.5,5.7,1.1,1.5,43.0,20.0,65.0,0.1,0.0,5.0,0.08,0.19,0.2,0
157,Broccoli marrow,80.0,85.61,4.99,0.2,7.1,1.12,0.94,50.0,44.86,108.9,1.52,630.0,,,,,0
158,Cauliflower,70.0,90.8,2.6,0.9,4.0,1.0,1.2,30.0,33.0,57.0,1.23,30.0,56.0,0.04,0.1,1.0,0
159,Cho-chomarrow,,92.5,0.7,0.1,5.7,0.4,0.6,27.0,140.0,30.0,0.6,0.0,4.0,0.0,0.04,0.4,0
160,Cluster beans,,81.0,3.2,0.4,10.8,1.4,3.2,16.0,130.0,57.0,1.08,198.0,49.0,0.09,0.03,0.6,0
161,Cowpea pods,,85.3,3.5,0.2,8.1,0.9,2.0,48.0,72.0,59.0,2.5,564.0,14.0,0.07,0.09,0.9,0
162,Cucumber,83.0,96.3,0.4,0.1,2.5,0.3,0.4,13.0,10.0,25.0,0.6,0.0,7.0,0.03,0.0,0.2,0
163,Chattel,79.0,89.72,2.04,0.18,6.1,0.78,1.2,34.0,70.08,45.79,0.92,,317.69,,,,0
164,Colocasia stem,86.0,94.0,0.3,0.3,3.6,1.2,0.6,18.0,60.0,20.0,0.5,104.0,3.0,0.07,0.07,0.1,0
165,Capsicum Yellow,97.0,88.69,0.86,0.11,17.2,0.5,0.66,73.23,17.05,33.55,1.94,,115.82,,,,0
166,Capsicum Red,97.0,88.86,0.92,0.1,25.2,0.55,0.7,105.38,25.41,35.38,2.38,,,,,,0
167,Capsicum Green,97.0,93.0,0.9,0.11,25.0,0.52,0.7,103.6,25.1,32.65,,,48.03,,,,0
168,Chillies Akbare Fresh,100.0,85.77,3.81,0.62,8.2,,0.76,53.42,,,,,,,,,0
169,Chillies Akbare Dry,100.0,11.39,13.97,7.77,52.9,6.64,7.34,337.37,,306.0,5.43,,,,,,4
170,Celery Stalks,,93.5,0.8,0.1,3.5,0.9,1.2,18.0,30.0,38.0,4.8,520.0,6.0,0.12,0.05,0.3,0
171,Double bean,,73.8,8.3,0.3,12.3,1.0,4.3,85.0,40.0,140.0,2.3,,22.0,,,,0
172,Drumstick flower,,85.9,3.6,0.8,7.1,1.3,1.3,50.0,51.0,90.0,,,,,,,0
173,Drumstick,83.0,86.9,2.5,0.1,3.7,2.0,4.8,26.0,30.0,110.0,0.18,110.0,120.0,0.05,0.07,0.2,0
174,French bean,94.0,91.4,1.7,0.1,4.5,0.5,1.8,26.0,50.0,28.0,0.61,132.0,24.0,0.08,0.06,0.3,0
175,Field bean tender,93.0,86.1,3.8,0.7,6.7,0.9,1.8,48.0,210.0,68.0,0.83,187.0,9.0,0.1,0.06,0.7,0
176,Jack fruit tender,,84.0,2.6,0.3,9.4,0.9,2.8,51.0,30.0,40.0,1.7,0.0,14.0,0.05,0.4,85.0,0
177,Knol-knol,74.0,92.7,1.1,0.2,3.8,0.7,1.5,21.0,20.0,35.0,0.4,21.0,85.0,0.05,0.09,0.5,0
178,Karonda Fresh,98.0,91.0,1.1,2.9,2.9,0.6,1.5,42.0,21.0,28.0,,,,,,,0
179,Ladies finger,84.0,89.6,1.9,0.2,6.4,0.7,1.2,35.0,66.0,56.0,0.35,52.0,13.0,0.07,0.1,0.6,0
180,Leeks,,78.9,1.8,0.1,17.2,0.7,1.3,77.0,50.0,70.0,2.3,18.0,11.0,0.23,,,0
181,"Lakooch, Badher raw",,89.4,1.6,1.2,13.9,1.1,2.8,73.0,67.0,25.0,,,,,,,0
182,"Lotus stem, dry",100.0,9.5,4.1,1.3,51.4,8.7,25.0,234.0,405.0,128.0,60.6,0.0,3.0,0.82,1.21,1.9,3
183,Mushroom Botton (Gobre),88.0,88.5,4.6,0.8,4.3,1.4,0.4,43.0,6.0,110.0,1.5,,,,,,0
184,Mushroom Oyster (Kanne),86.0,88.0,3.0,0.2,5.8,1.3,0.9,37.0,,1.5,,,,,,,0
185,"Mushroom, wild , dry",,17.1,16.9,0.9,14.1,17.8,20.8,134.7,,743.0,17.2,,,,,,3
186,Mango green,72.0,87.5,0.7,0.1,10.1,0.4,1.2,44.0,10.0,19.0,6.33,90.0,3.0,0.04,0.01,0.2,0
187,Onion stalk (Green),100.0,87.6,0.9,0.2,8.9,0.8,1.6,41.0,50.0,50.0,7.43,595.0,17.0,0.0,0.03,0.3,0
188,Pink beans,94.0,86.8,3.1,0.4,7.0,0.6,2.1,44.0,54.0,70.0,1.5,453.0,12.0,0.06,0.02,0.6,0
189,Pumpkin,79.0,92.6,1.4,0.1,4.6,0.6,0.7,25.0,10.0,30.0,0.44,50.0,2.0,,,,0
190,Plantain flower,43.0,89.9,1.7,0.7,5.1,1.3,1.3,34.0,32.0,42.0,1.6,27.0,16.0,0.05,0.02,0.4,0
191,Plantain green,58.0,83.2,1.4,0.2,14.0,0.5,0.7,64.0,10.0,29.0,6.27,30.0,24.0,0.05,0.02,0.3,0
192,plantain stem,,88.3,0.5,0.1,90.7,0.6,0.8,42.0,10.0,10.0,1.1,0.0,7.0,0.02,0.01,0.2,4
193,Pumpkin flower,,89.1,2.2,0.8,5.8,1.4,0.7,39.0,120.0,60.0,,,,,,,0
194,Parwar,95.0,92.0,2.0,0.3,2.2,0.5,3.0,20.0,30.0,40.0,1.7,153.0,29.0,0.05,0.06,0.5,0
195,Peas,53.0,72.1,7.2,0.1,15.9,0.8,4.0,93.0,20.0,139.0,1.5,83.0,9.0,0.25,0.01,0.8,0
196,Papaya green,,92.0,0.7,0.2,5.7,0.5,0.9,27.0,28.0,40.0,0.9,0.0,12.0,0.01,0.01,0.1,0
197,Ridge gourd,82.0,95.2,0.5,0.1,3.4,0.3,0.5,17.0,18.0,26.0,0.39,33.0,5.0,,0.01,0.2,0
198,"Rape, stem",,91.4,0.1,1.4,4.0,1.4,1.5,29.0,100.0,100.0,1.2,,,,,,0
199,Redgram tender,72.0,65.1,9.8,1.0,16.9,1.0,6.2,116.0,57.0,164.0,1.1,469.0,25.0,0.32,0.33,3.0,0
200,Red beans (Rato Bodi),,88.5,3.1,0.1,5.2,0.6,2.5,34.0,18.1,254.0,4.9,,,,,,0
201,Red bean (Simi),91.0,88.85,3.5,0.1,26.6,1.5,2.7,121.0,33.0,258.0,5.0,,7.8,,,,0
202,Spotted beans (Chirke simi),,70.72,3.34,0.75,21.8,1.24,2.12,107.0,,,,,,,,,0
203,Red cowpea,34.0,88.5,3.1,0.1,5.2,0.6,2.5,34.0,18.1,254.0,4.9,,,,,,0
204,Snakegourd,98.0,94.6,0.5,0.3,3.3,0.5,0.8,18.0,26.0,20.0,1.51,96.0,0.0,0.04,0.06,0.3,0
205,Sponge guard,83.0,93.13,1.03,0.11,5.0,0.35,0.39,26.43,28.2,30.07,1.18,,4.55,,,,0
206,Sannhemp flower,,78.9,4.8,0.6,10.4,1.4,3.9,66.0,200.0,100.0,,,,,,,0
207,Silkcotton flower,,86.4,1.5,0.3,9.5,0.7,1.6,47.0,22.0,45.0,,,,,,,0
208,Spinach stalk,,93.4,0.9,0.1,3.8,1.8,1.5,20.0,90.0,20.0,1.6,,3.0,,,,0
209,Sword beans,98.0,87.2,2.7,0.2,7.8,0.6,1.5,44.0,60.0,40.0,2.0,12.0,0.08,0.08,0.5,,0
210,Soyabean tender,58.0,1.33,14.89,2.92,15.1,2.1,3.68,146.2,89.7,206.7,3.7,,4.55,,,,0
211,Tomato green,98.0,93.1,1.9,0.1,3.6,0.6,0.7,23.0,20.0,36.0,1.8,192.0,31.0,0.07,0.01,0.4,0
212,Tomato red,100.0,93.5,1.3,0.1,3.9,0.7,0.5,21.0,15.0,27.0,0.7,424.0,23.0,,,,0
213,Tree tomato,90.0,86.2,1.5,0.2,6.7,1.2,4.2,35.0,12.0,46.0,1.0,324.0,0.0,,,,0
214,Tinda tender,99.0,93.5,1.4,0.2,3.4,0.5,1.0,21.0,25.0,24.0,0.9,13.0,18.0,0.04,0.08,0.3,0
215,Vegetable marrow,94.0,94.8,0.5,0.1,3.5,0.3,0.8,17.0,10.0,30.0,1.35,,18.0,0.02,0.0,0.4,0
216,Water chesnut fresh,38.0,70.0,4.7,0.3,23.3,1.1,0.6,115.0,20.0,150.0,0.8,12.0,9.0,0.05,0.07,0.6,0
217,Water chesnut dry,,13.8,13.4,0.8,68.9,3.1,1.5,70.0,440.0,2.4,,,,,,,4
218,Water lily flower,,90.8,1.6,0.6,5.4,0.7,0.9,33.0,29.0,18.0,,,,,,,0
219,Winged bean tender,,86.6,2.66,34.0,7.9,0.76,1.79,45.1,26.32,51.1,,,3.37,,,,0
220,Beet root,85.0,87.7,1.7,0.1,8.8,0.8,0.9,43.0,18.0,55.0,1.19,0.0,10.0,0.04,0.09,0.4,0
221,Banana rhizome,35.0,85.1,0.4,0.2,11.8,1.4,1.1,51.0,25.0,10.0,1.1,16.0,1.0,0.0,0.03,0.2,0
222,Colacasia,,73.1,3.0,0.1,21.1,1.7,1.0,97.0,40.0,140.0,0.42,24.0,0.0,0.09,0.03,0.4,0
223,Cassava,,62.5,1.2,0.3,34.7,2.41,0.43,146.3,33.0,,0.7,,,,,,0
224,Carrot,95.0,86.0,0.9,0.2,10.6,1.1,1.2,47.8,80.0,530.0,1.03,4275.0,3.0,0.04,0.02,0.6,0
225,Cho-cho marrow root,87.0,76.19,1.9,0.1,20.3,0.97,0.7,89.93,52.47,60.46,0.89,0.0,10.02,,,,0
226,Ghar tarul,100.0,58.61,4.0,0.1,32.6,2.06,2.56,147.0,69.8,,24.03,,,,,,0
227,Garlic dry,85.0,62.0,6.15,0.1,29.8,1.0,0.8,145.0,30.0,310.0,1.3,,13.0,0.06,0.23,0.4,0
228,Gittha,66.0,68.31,3.72,0.9,25.2,0.93,0.91,124.0,12.41,,0.95,0.0,,,,,0
229,Lotus root,,85.9,1.7,0.1,11.3,0.2,0.8,53.0,21.0,74.0,0.4,,22.0,0.1,,,0
230,Mango ginger,87.0,85.0,1.1,0.7,10.5,1.4,1.3,53.0,25.0,90.0,2.6,20.0,1.0,0.01,0.03,0.0,0
231,Onion   (Small),,84.3,1.8,0.1,12.6,0.6,0.6,59.0,40.0,60.0,1.2,15.0,2.0,0.08,0.02,0.5,0
232,Onion   (Big),95.0,86.6,1.2,0.1,10.4,0.4,1.3,47.0,47.0,50.0,0.6,0.0,11.0,0.08,0.01,0.4,0
233,Potato,85.0,74.7,1.6,0.1,22.4,0.6,0.6,97.0,10.0,40.0,0.46,0.0,17.0,0.1,0.01,1.2,0
234,Potato( Red),100.0,82.0,1.1,0.52,15.0,0.72,0.25,72.0,5.42,50.1,0.48,,,,,,0
235,Potato boiled ( without skin),,81.0,1.9,0.1,16.3,0.7,0.4,72.0,7.0,44.0,,11.0,0.06,0.02,1.3,,0
236,Potato chips fried,,4.2,3.6,43.8,45.9,2.5,0.9,562.0,18.0,74.0,1.6,0.0,0.0,,0.02,0.5,5
237,Rani vyakur,78.0,72.72,2.3,0.2,22.7,1.41,1.1,101.0,24.71,,8.38,,,,,,0
238,Radish Pink,98.0,90.8,0.6,0.3,6.8,0.9,0.6,32.0,50.0,20.0,0.37,0.0,17.0,0.06,0.02,0.5,0
239,Radish white,99.0,94.4,0.7,0.1,22.7,0.6,9.6,101.0,24.7,,0.4,3.0,15.0,0.06,0.02,0.5,0
240,Radish Rat- tailed,,92.3,1.3,0.03,4.3,0.7,0.4,72.0,7.0,44.0,,11.0,0.06,0.02,1.3,,0
241,Sweet Potato( white)),97.0,68.5,1.2,0.3,28.3,1.0,0.7,121.0,46.0,50.0,0.21,6.0,24.0,0.08,0.04,0.7,0
242,Sweet potato red,93.0,67.6,1.35,0.5,29.1,0.74,1.0,126.0,145.81,33.97,2.21,0.0,2.42,,,,0
243,Sweet potato boiled,,70.7,1.0,0.1,27.4,0.8,0.8,114.0,36.0,56.0,0.9,0.0,11.0,0.08,0.05,0.4,0
244,Turnip red,60.0,88.9,1.2,0.2,7.7,0.7,1.3,37.0,47.7,35.2,2.3,1.2,,,,,0
245,Yam elephant,,78.7,1.2,0.1,18.4,0.8,0.9,79.0,50.0,34.0,0.6,260.0,,0.06,0.07,0.7,0
246,Yam wild,89.0,70.4,2.5,0.3,29.1,1.4,0.8,110.0,20.0,74.0,1.0,97.0,1.0,0.19,0.45,1.2,0
247,Gundurk(Mustard),100.0,11.7,4.8,0.9,17.9,,1.5,129.0,2488.0,,94.3,1520.0,,,,,0
248,Mulako Sinki,100.0,11.1,12.0,0.7,47.5,13.5,14.92,245.0,,,,,,,,,3
249,Dried rape leaves,100.0,7.4,27.0,2.9,40.7,15.3,6.7,297.0,3095.0,500.0,,,,,,,1
250,Blackgram+Colocosia tuber Maseura,100.0,7.9,19.8,0.7,63.8,4.3,3.5,341.0,17.6,401.0,4.5,,,,,,1
251,Blackgram+Colocosia tuber+Gundruk Maseura,100.0,7.8,25.3,0.7,57.6,4.9,3.7,338.0,33.37,402.0,11.6,,,,,,1
252,Blackgram+Ashgourd (kubindo) Maseura,100.0,7.1,30.3,1.0,55.5,3.6,2.5,352.0,11.7,487.0,1.9,,,,,,1
253,Blackgram+Garlic Maseura,100.0,10.1,22.0,1.2,17.9,3.2,1.2,346.0,11.9,423.0,3.3,,,,,,1
254,Blackgram+Cabbage Maseura,100.0,7.3,22.0,0.1,64.4,3.7,2.5,347.0,13.5,407.0,5.0,,,,,,1
255,Blackgram+Gardencress (Chamsur) Maseura,100.0,8.8,26.9,0.1,59.2,2.5,2.5,345.0,17.6,320.0,6.3,,,,,,1
256,Blackgram+Raddish Maseura,100.0,8.3,24.6,1.9,58.6,3.9,2.7,350.0,13.0,404.0,4.5,,,,,,1
257,Blackgram+Cauliflower Maseura,100.0,10.0,24.5,0.6,57.5,4.9,2.5,333.0,8.1,431.0,3.1,,,,,,1
258,Apple,90.0,84.6,0.2,0.5,13.4,0.3,1.0,59.0,10.0,14.0,0.66,0.0,1.0,,,,0
259,Amala ( big),95.0,86.7,0.0,0.2,13.7,0.4,3.6,54.0,,,,,324.1,,,,0
260,Amala (small),93.0,80.92,0.0,0.2,17.9,0.6,3.21,58.0,50.0,20.0,1.2,,562.62,0.03,0.01,0.2,0
261,Apricot fresh,86.0,85.3,1.0,0.3,11.6,0.7,1.1,53.0,20.0,25.0,2.2,2160.0,6.0,0.04,0.3,0.6,0
262,Apricot dried,93.0,19.4,1.6,0.7,73.4,2.8,2.1,306.0,110.0,70.0,4.6,58.0,2.0,0.22,,2.3,4
263,Avocado,,73.6,1.7,22.8,0.8,1.1,1.5,215.0,10.0,80.0,0.7,,,,,,0
