sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id
523,Chitlang sag,,87.5,2.4,0.2,6.7,2.0,1.1,38.0,4.0,,,,24.8,,,,0
524,Chutro,,72.0,2.5,6.9,16.2,1.0,1.4,87.0,,,,,,,,,0
525,Damaiphal,,85.0,0.5,0.3,11.5,0.8,1.7,51.0,60.0,,,,,,,,0
526,"Wild mushroom,dry",,13.5,12.7,1.65,17.9,16.6,10.89,129.0,,426.0,16.33,,,,,,3
527,Frase tarul,,75.0,1.6,0.9,21.0,0.7,1.5,91.0,,,,,,,,,0
528,Gande,,82.0,2.1,0.3,11.0,2.0,2.5,55.0,105.5,54.95,16.25,43.53,7.56,,,,0
529,Ghod tapre,,79.0,3.0,0.2,13.6,1.5,2.6,68.0,155.94,50.0,8.0,,12.91,,,,0
530,Ginare dried,,7.2,22.0,0.9,37.7,21.1,12.0,238.0,232.4,,,,,,,,3
531,Githa,,74.0,1.5,0.1,22.0,0.8,1.3,96.0,61.5,81.0,3.2,707.5,5.6,,,,0
532,Guyelo,,68.0,4.6,0.7,17.9,1.0,7.8,96.0,70.2,,,,1.6,,,,0
533,Hathale sag,,90.0,3.1,0.3,3.8,1.3,1.3,31.0,76.6,,,,9514.0,,,,0
534,Jamun,,87.0,4.0,0.9,6.0,1.6,1.4,40.0,23.15,,,,,,,,0
535,Kali Kath,,65.4,1.59,0.69,25.4,1.14,5.76,114.0,95.09,,,,,,,,0
536,Kali mayel,,69.0,0.7,0.9,21.3,0.7,8.3,89.0,,,,,,,,,0
537,Kamal phal,,81.7,1.8,0.3,10.3,1.0,4.7,51.0,21.1,,,,,,,,0
538,Kane saag,,91.0,2.3,0.1,3.2,1.6,1.7,23.0,820.8,53.1,7.0,3116.0,14.39,,,,0
539,Kavro,,69.0,2.8,0.9,25.8,0.8,1.6,114.0,,,,,,,,,0
540,Khaneu,,85.1,1.4,0.3,5.6,1.3,6.1,31.0,180.7,,,,,,,,0
541,Koiralo,,84.3,1.0,3.4,8.1,2.0,0.8,54.0,75.9,,,,,,,,0
542,Kikur diano,,93.0,1.6,0.9,2.8,0.6,1.2,17.0,20.1,2.7,,,3.66,,,,0
543,"Latte saag, green stem",,78.0,6.4,0.9,11.4,3.0,2.4,71.0,,,,,,,,,0
544,"Latte saag, red stem",,81.0,4.4,0.9,9.5,2.9,1.1,48.0,,,,,,,,,0
545,Lude sag,,83.9,4.7,0.2,7.1,2.8,5.5,49.0,406.1,,,,,,,,0
