sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c,breakfast,lunch,dinner,food_name_clean,breakfast_cluster,lunch_cluster,dinner_cluster
1,Amaranth seed,9.4,7.17,68.1,2.2,375.0,37.0,5.2,58.94,1,0,0,amaranth seed,1,,
2,Barely,11.5,1.3,69.6,3.9,336.0,26.0,1.7,0.0,0,1,0,barely,,1,
3,Buck wheat (whole),10.3,2.4,65.1,8.6,323.0,64.0,15.5,0.0,1,0,0,buck wheat (whole),1,,
4,Bajra,11.6,5.0,67.5,1.2,361.0,42.0,8.0,0.0,1,0,0,bajra,1,,
5,Bamboo seed,13.1,1.1,75.9,0.9,367.0,37.0,6.4,58.95,0,1,1,bamboo seed,,1,3
6,Buckwheat flour,6.1,1.3,69.2,7.8,313.0,75.57,5.6,59.03,0,0,1,buckwheat flour,,,3
7,Foxtail millet,12.3,4.3,60.9,8.0,331.0,31.0,12.9,59.01,1,0,0,foxtail millet,1,,
8,Finger millet (Ragi),7.3,1.3,72.0,3.6,328.0,344.0,3.9,58.97,1,0,0,finger millet (ragi),1,,
9,Prosomillet (chino),11.0,4.22,72.9,1.0,378.0,8.0,3.0,58.94,1,0,0,prosomillet (chino),1,,
10,French millet,12.5,1.1,70.4,2.2,341.0,14.0,5.0,59.0,1,0,0,french millet,1,,
11,Jowar,10.4,1.9,72.6,1.6,349.0,25.0,5.8,0.0,0,0,1,jowar,,,3
12,Maize green (tender),4.7,0.9,24.6,1.9,125.0,9.0,1.1,0.0,0,1,1,maize green (tender),,0,1
13,Maize Dry,11.1,3.6,66.2,2.7,342.0,10.0,3.3,0.0,0,0,1,maize dry,,,3
14,Maize dry (Murali),12.1,4.31,70.9,2.2,372.0,125.47,7.01,58.93,0,1,0,maize dry (murali),,1,
15,Maize flour (yellow),9.2,3.9,72.1,1.6,360.0,20.0,2.4,0.0,0,0,1,maize flour (yellow),,,3
16,Maize flour (white),9.2,3.9,72.1,1.6,360.0,20.0,2.4,0.0,0,0,1,maize flour (white),,,3
17,Millet,7.7,1.2,70.1,3.7,322.0,288.0,49.1,58.97,0,0,1,millet,,,3
18,Maize granular,9.0,3.4,74.5,1.0,362.0,17.0,1.8,0.0,0,1,0,maize granular,,1,
19,Naked barley white (Uwa),12.6,1.6,70.5,2.3,346.0,25.0,4.1,58.99,1,0,0,naked barley white (uwa),1,,
20,Naked barley black (Uwa),10.4,1.75,70.9,2.5,340.0,20.3,7.5,59.0,1,0,0,naked barley black (uwa),1,,
21,Uwa flour,9.6,2.6,76.7,2.0,369.0,13.49,1.4,58.96,1,0,0,uwa flour,1,,
22,Oatmeal,13.6,7.6,62.8,3.5,374.0,50.0,3.8,58.94,1,0,0,oatmeal,1,,
23,Rice Parboiled (hand pounded),8.5,0.6,77.4,2.94,349.0,10.0,2.8,0.0,0,1,1,rice parboiled (hand pounded),,1,3
24,Rice (raw) (Milled),6.8,0.5,78.2,0.2,345.0,10.0,0.7,0.0,0,1,1,rice (raw) (milled),,1,3
25,Rice (Raw) (Handpounded),7.5,1.0,76.7,0.6,346.0,10.0,3.2,0.0,0,1,1,rice (raw) (handpounded),,1,3
26,Rice flakes,6.6,1.2,77.3,0.7,346.0,20.0,20.0,0.0,0,1,1,rice flakes,,1,3
27,Rice parboiled (Milled),6.4,0.4,79.0,0.2,345.0,9.0,1.0,0.0,0,1,1,rice parboiled (milled),,1,3
28,Rice Puff,7.5,0.1,73.6,0.3,325.0,23.0,6.6,0.0,0,1,1,rice puff,,1,3
29,Rice bran,13.5,16.2,48.4,4.3,393.0,67.0,35.0,0.0,0,1,1,rice bran,,3,2
30,Semolina,10.4,0.8,74.8,0.2,348.0,16.0,1.6,58.99,1,0,0,semolina,1,,
31,Sorghum,7.6,2.4,74.7,0.6,357.0,17.0,3.6,0.0,1,0,0,sorghum,1,,
32,Sarvottam pitho (lito),21.29,10.84,61.7,0.4,427.0,22.5,4.3,58.87,1,0,0,sarvottam pitho (lito),1,,
33,Taichin beaten rice,7.68,1.94,77.9,0.56,360.0,19.11,4.9,58.97,1,1,1,taichin beaten rice,1,1,3
34,Vermicelli,8.7,0.4,78.3,0.2,352.0,22.0,2.0,58.98,1,0,0,vermicelli,1,,
35,Varagu,6.7,0.7,67.0,3.1,310.0,73.68,5.52,59.03,1,0,0,varagu,1,,
36,Varagu flour,6.1,1.3,69.2,2.0,313.0,65.19,5.56,59.03,1,0,0,varagu flour,1,,
37,Wheat flour (whole),12.1,1.7,69.4,1.9,341.0,48.0,4.9,0.0,0,0,1,wheat flour (whole),,,3
38,Wheat flour (refined),11.0,0.9,73.9,0.3,348.0,23.0,2.7,0.0,0,0,1,wheat flour (refined),,,3
39,Wheat germ,29.2,7.4,53.3,1.4,397.0,40.0,6.0,0.0,1,0,0,wheat germ,1,,
40,Wheat bran,14.6,3.0,66.0,6.8,397.0,132.0,13.8,0.0,1,0,0,wheat bran,1,,
41,"Bengal gram, Big, white (whole)",21.1,4.0,56.7,4.5,347.2,56.2,5.3,58.98,0,0,1,"bengal gram, big, white (whole)",,,0
42,Bengal gram dal (chickpea),20.8,5.6,59.8,1.2,372.0,56.0,5.3,1.0,0,1,1,bengal gram dal (chickpea),,2,0
43,"Bengal gram medium, white",23.2,3.7,54.6,4.7,345.0,45.6,3.6,58.99,0,1,0,"bengal gram medium, white",,2,
44,"Bengal gram, Dark brown big",17.1,5.3,60.9,3.9,360.0,44.8,4.6,3.0,0,1,0,"bengal gram, dark brown big",,2,
45,"Bengal gram, light brown small",24.0,4.1,54.9,3.7,352.5,47.6,4.4,58.98,0,1,0,"bengal gram, light brown small",,2,
46,"Bengal gram, brown small",20.6,3.5,59.0,3.5,349.9,59.2,5.3,58.98,0,1,0,"bengal gram, brown small",,2,
47,"Bengal gram, Small, White",23.2,3.7,54.6,4.7,344.5,45.6,3.6,58.99,0,1,0,"bengal gram, small, white",,2,
48,Black gram (Dal),24.0,1.4,59.6,0.9,347.0,154.0,3.8,0.0,0,1,1,black gram (dal),,2,0
49,Black gram (Whole),21.0,1.6,58.8,4.4,344.0,110.0,8.4,2.0,0,0,1,black gram (whole),,,0
50,Broadbean,25.0,1.2,29.3,5.1,328.0,104.0,4.2,59.01,0,1,1,broadbean,,2,0
51,Black bean,23.73,1.31,58.7,2.1,342.0,263.58,9.42,58.96,0,1,1,black bean,,2,0
52,Bhote simi,23.49,3.71,57.7,1.32,358.0,263.45,9.51,58.94,0,1,1,bhote simi,,2,0
53,Cow Pea,24.1,1.0,54.5,3.8,323.0,77.0,8.6,0.0,0,0,1,cow pea,,,0
54,Fieldbean dry (simi),24.9,1.3,60.1,1.4,347.0,60.0,4.4,58.98,0,1,1,fieldbean dry (simi),,2,0
55,Gram Flour besan,17.9,4.3,63.5,0.1,364.0,129.0,5.6,58.95,1,0,0,gram flour besan,1,,
56,"Green gram (Dal), Green",24.5,1.2,59.9,4.2,348.0,75.0,3.9,0.0,0,1,1,"green gram (dal), green",,2,0
57,Green gram (whole),24.0,1.3,56.7,4.1,335.0,124.0,7.3,0.0,0,0,1,green gram (whole),,,0
58,Green peas dry,23.33,1.03,61.3,3.71,348.0,145.02,1.86,58.97,0,1,0,green peas dry,,2,
59,Mung dal (yellow),26.71,0.93,58.0,1.71,348.0,160.27,1.17,58.97,0,1,1,mung dal (yellow),,2,0
60,Horsegram black,22.0,0.5,57.2,5.3,321.0,287.0,6.77,58.99,0,1,0,horsegram black,,2,
61,Horsegram red,21.11,0.85,57.4,4.12,322.0,242.75,8.86,58.99,0,1,0,horsegram red,,2,
62,Khesari dal,28.2,0.6,56.6,2.3,345.0,90.0,6.3,58.98,0,1,1,khesari dal,,2,0
63,Katike Cow Pea,22.86,1.56,56.1,5.1,330.0,9.0,4.24,59.01,0,1,1,katike cow pea,,2,0
64,Kause bean,18.04,5.26,62.5,0.88,369.0,199.17,8.35,58.93,0,1,1,kause bean,,2,0
65,Lentil,25.1,0.7,59.0,0.7,343.0,69.0,7.5,58.99,0,1,1,lentil,,2,0
66,Moth beans,23.6,1.1,56.6,4.5,330.0,202.0,9.5,2.0,0,1,1,moth beans,,2,0
67,Moth beans (Yellow),22.95,0.46,59.1,3.27,358.0,253.04,9.13,58.94,0,1,1,moth beans (yellow),,2,0
68,Moth beans (Red),19.74,0.7,62.7,3.63,336.0,218.34,8.53,58.97,0,1,1,moth beans (red),,2,0
69,Peas (dry),19.7,1.9,55.7,4.5,319.0,75.0,7.05,0.0,0,0,1,peas (dry),,,0
70,Rajmah,22.9,1.3,60.6,4.8,346.0,260.0,5.1,58.95,0,0,1,rajmah,,,0
71,Red gram dal,22.3,1.7,57.6,1.5,335.0,73.0,2.7,59.0,0,1,1,red gram dal,,2,0
72,Soyabean (black),33.3,15.0,31.3,4.3,393.0,213.0,9.5,58.9,0,1,1,soyabean (black),,2,0
73,Soyabean (Brown),43.2,19.5,20.9,3.7,432.0,240.0,10.4,58.84,0,1,1,soyabean (brown),,3,2
74,Soyabean (white),33.3,17.7,29.6,4.2,411.0,226.0,8.5,0.0,0,1,1,soyabean (white),,3,2
75,Tarbare Simi (red),23.52,1.42,57.8,1.24,338.0,260.84,9.33,58.96,0,1,1,tarbare simi (red),,2,0
76,Sprout bean,13.0,0.2,0.5,0.8,56.0,5.7,3.8,16.8,0,1,1,sprout bean,,0,1
77,White peas big,23.3,0.8,58.0,3.1,332.0,11.0,5.3,59.01,0,1,0,white peas big,,2,
78,White bean,22.6,1.42,56.6,1.42,330.0,173.47,3.8,58.99,0,1,1,white bean,,2,0
79,Mung (Titura),26.2,1.3,59.5,0.9,355.0,11.0,4.8,58.98,0,1,1,mung (titura),,2,0
80,Tofu (Soybean product),16.5,0.3,1.6,0.03,75.0,18.4,1.0,59.38,0,1,1,tofu (soybean product),,0,1
81,Nutrila (Soybean),46.9,1.0,33.2,1.4,329.0,33.0,12.8,59.01,0,1,1,nutrila (soybean),,2,0
82,Amaranth (spined),3.0,0.3,7.0,1.1,43.0,800.0,22.9,33.0,0,1,1,amaranth (spined),,0,1
83,Amaranth (tender),4.0,0.5,6.1,1.0,45.0,397.0,3.49,99.0,0,1,1,amaranth (tender),,0,1
84,Asparagus (Kurilo),3.3,0.1,2.7,0.8,25.0,30.6,1.3,12.8,0,1,1,asparagus (kurilo),,0,1
85,Agathi,8.4,1.4,11.8,2.2,93.0,1130.0,3.9,169.0,0,1,1,agathi,,0,1
86,Aniseed leaves,2.86,0.59,5.2,1.15,38.0,119.9,4.51,42.31,0,1,1,aniseed leaves,,0,1
87,Bethel leaves,3.7,0.4,2.9,0.8,30.0,150.0,4.2,35.0,0,1,1,bethel leaves,,0,1
88,Beet green,3.4,0.8,6.5,0.7,46.0,380.0,16.2,70.0,0,1,1,beet green,,0,1
89,Buckwheat leaves,3.92,0.11,3.8,0.87,31.0,141.64,4.16,81.85,1,0,0,buckwheat leaves,0,,
90,Bengalgram leaves,7.0,1.4,14.1,2.0,97.0,340.0,23.8,61.0,0,1,1,bengalgram leaves,,0,1
91,Bottleguard leaves,2.3,0.7,6.1,1.3,39.0,80.0,3.07,59.42,0,1,1,bottleguard leaves,,0,1
92,Broadbean leaves,5.6,0.3,11.5,1.7,71.0,111.0,3.97,59.37,0,1,1,broadbean leaves,,0,1
93,Brussels sprouts,4.7,0.5,7.1,1.2,52.0,43.0,1.8,72.0,1,0,0,brussels sprouts,0,,
94,Cabbage green,1.8,0.1,4.6,1.0,27.0,39.0,0.8,124.0,0,0,1,cabbage green,,,1
95,Cabbage purple,1.9,0.2,3.5,2.2,11.0,22.7,1.1,59.47,0,0,1,cabbage purple,,,1
96,"Cauliflower, Green",5.9,1.3,7.6,2.0,66.0,626.0,40.0,59.3,0,1,1,"cauliflower, green",,0,1
97,Cauliflower (flower only),0.75,2.4,6.6,0.25,41.0,11.51,0.85,86.62,0,1,1,cauliflower (flower only),,0,1
98,Choisum Sag,2.7,0.3,6.4,1.5,39.0,65.2,1.5,10.3,0,1,1,choisum sag,,0,1
99,Chukandar,2.8,0.1,7.8,0.4,43.0,20.0,1.3,59.43,0,1,1,chukandar,,0,1
100,Chocho leaves,3.01,0.21,3.2,1.01,27.0,42.53,2.26,11.92,0,1,1,chocho leaves,,0,1
101,Coriander leaves,3.3,0.6,6.3,1.2,44.0,184.0,1.42,135.0,0,0,0,coriander leaves,,,
102,Carrot leaves,5.1,0.5,13.1,1.9,77.0,340.0,8.8,79.0,0,1,1,carrot leaves,,0,1
103,Celery leaves,6.3,0.6,1.6,1.4,37.0,230.0,6.3,62.0,0,1,1,celery leaves,,0,1
104,Colocasia leaves (Black variety),6.8,2.0,8.1,1.8,77.0,460.0,0.98,63.0,0,1,1,colocasia leaves (black variety),,0,1
105,Colocasia leaves (Green variety),3.9,1.5,6.8,2.9,56.0,227.0,10.0,12.0,0,1,1,colocasia leaves (green variety),,0,1
106,Colocasia leaves (dried),13.7,5.9,42.3,16.0,277.0,1546.0,34.38,58.86,0,1,1,colocasia leaves (dried),,2,0
107,Cowpea leaves,3.4,0.7,4.1,1.2,38.0,290.0,20.1,4.0,0,1,1,cowpea leaves,,0,1
108,Dundu,2.57,0.0,3.66,1.22,25.0,86.22,3.19,11.92,0,1,1,dundu,,0,1
109,Drumstick leaves,6.7,1.7,12.5,0.9,92.0,440.0,0.85,220.0,0,1,1,drumstick leaves,,0,1
110,Fenugreek leaves,4.4,0.9,6.0,1.1,49.0,395.0,1.93,52.0,0,1,1,fenugreek leaves,,0,1
111,Garden cress,5.8,1.0,8.7,4.5,67.0,360.0,28.6,59.34,0,1,1,garden cress,,0,1
112,Garden sorrel,0.6,0.2,5.1,1.3,25.0,130.0,1.7,5.0,0,1,1,garden sorrel,,0,1
113,Garlic (stem & leaves),2.4,0.5,15.1,1.6,76.0,53.0,0.6,36.0,0,1,1,garlic (stem & leaves),,0,1
114,Gyanth Kobi,2.6,1.0,6.0,0.2,43.0,19.3,13.2,8.6,0,1,1,gyanth kobi,,0,1
115,Gyanth Kobi Leaves,2.8,0.5,9.7,0.8,56.0,31.1,0.1,10.1,0,1,1,gyanth kobi leaves,,0,1
116,Gothale Sag,2.07,0.4,9.6,2.01,51.0,274.0,7.13,31.6,0,1,1,gothale sag,,0,1
117,jaluka Saag,2.4,0.43,5.5,3.02,35.0,254.45,3.6,3.25,0,1,1,jaluka saag,,0,1
118,Khesari leaves,6.1,1.0,5.5,2.1,55.0,160.0,7.3,41.0,0,1,1,khesari leaves,,0,1
119,Koiralo Sag,3.6,1.0,9.7,5.5,62.0,312.0,7.91,59.36,0,1,1,koiralo sag,,0,1
120,Khole garden cress,3.5,0.4,4.4,0.95,35.0,113.0,3.68,59.43,0,1,1,khole garden cress,,0,1
121,Knol-knol green,3.5,0.4,6.4,1.8,43.0,740.0,13.3,157.0,0,1,1,knol-knol green,,0,1
122,Kitchen garden pesley,2.4,0.6,2.9,1.3,27.0,111.0,14.8,29.0,0,1,1,kitchen garden pesley,,0,1
123,lettuce,2.1,0.3,2.5,0.5,21.0,50.0,2.4,10.0,0,1,1,lettuce,,0,1
124,love-lies bleeding,3.0,0.7,2.0,1.0,26.0,200.0,5.32,59.43,0,1,1,love-lies bleeding,,0,1
125,Mint,4.8,0.6,5.8,2.0,48.0,200.0,15.6,27.0,0,1,1,mint,,0,1
126,Mustard leaves,4.0,0.6,3.2,0.8,34.0,155.0,16.3,33.0,0,1,1,mustard leaves,,0,1
127,Nakore sag,2.49,0.18,8.0,0.89,44.0,83.54,3.13,84.39,0,1,1,nakore sag,,0,1
128,Niguro green,1.15,0.15,3.4,0.99,19.0,72.96,1.03,6.2,0,1,1,niguro green,,0,1
129,Neem leaves tender,11.6,3.0,21.2,2.2,158.0,130.0,25.3,104.0,0,1,1,neem leaves tender,,0,1
130,Poisag,2.8,0.4,4.2,3.65,32.0,200.0,1.0,87.0,0,1,1,poisag,,0,1
131,Patua sag,5.1,1.1,8.1,1.6,63.0,241.0,6.47,59.37,0,1,1,patua sag,,0,1
132,Potato leaves,4.4,0.9,3.6,1.3,40.0,120.0,3.84,59.42,0,1,1,potato leaves,,0,1
133,Pumpkin leaves,4.6,0.8,6.9,2.1,53.0,392.0,9.4,59.36,0,1,1,pumpkin leaves,,0,1
134,Purple Cabbage,1.9,0.2,52.0,2.2,66.0,22.7,1.1,59.39,0,1,1,purple cabbage,,1,3
135,Rape leaves,5.1,0.4,5.9,1.2,48.0,370.0,12.5,65.0,0,1,1,rape leaves,,0,1
136,Radish leaves,3.8,0.4,2.4,1.0,28.0,265.0,0.9,81.0,0,1,1,radish leaves,,0,1
137,Rapes leaves dried,27.0,2.9,40.7,6.7,297.0,3095.0,65.36,58.6,0,1,1,rapes leaves dried,,2,0
138,Safflower leaves,2.5,0.6,4.5,3.59,33.0,185.0,5.7,15.0,0,1,1,safflower leaves,,0,1
139,Sim saag fresh,2.4,0.44,1.5,0.67,20.0,127.07,3.2,59.45,0,1,1,sim saag fresh,,0,1
140,Spinach,2.0,0.7,2.9,0.6,26.0,73.0,1.14,28.0,0,0,1,spinach,,,1
141,Stinging Nettle (Sisnu) leaves,6.9,0.2,5.0,1.8,53.0,981.3,21.26,5.5,0,1,1,stinging nettle (sisnu) leaves,,0,1
142,Soya leaves,6.0,0.5,10.8,3.58,72.0,180.0,8.0,59.36,0,1,1,soya leaves,,0,1
143,Sweet potato green leaves,4.2,0.8,9.7,2.4,63.0,360.0,1.14,27.0,0,1,1,sweet potato green leaves,,0,1
144,Sweetchard,2.21,0.24,5.3,0.7,32.0,86.4,4.57,33.83,0,1,1,sweetchard,,0,1
145,Tamarind leaves tender,8.6,3.0,60.9,10.1,305.0,1485.0,33.57,58.83,0,1,1,tamarind leaves tender,,1,3
146,Tanki Sag,1.3,0.8,44.2,3.7,190.0,361.0,6.1,9.5,0,1,1,tanki sag,,0,1
147,Thai spinach,2.3,0.3,6.1,0.8,36.0,79.5,2.4,10.0,0,1,1,thai spinach,,0,1
148,Turnip green leaves,4.0,1.5,9.4,1.0,67.0,710.0,24.4,180.0,0,1,1,turnip green leaves,,0,1
149,Ashgourd,0.4,0.1,1.9,0.8,10.0,30.0,0.8,1.0,0,0,1,ashgourd,,,1
150,Agathi flower,1.0,0.5,4.4,0.8,26.0,9.0,1.54,59.45,0,1,1,agathi flower,,0,1
151,Bitter gourd,1.6,0.2,4.2,0.8,25.0,20.0,0.61,88.0,0,1,0,bitter gourd,,0,
152,Barela,0.99,0.26,6.7,0.79,33.0,143.65,2.0,6.86,0,1,1,barela,,0,1
153,Bottle gourd,0.2,0.1,2.5,0.6,12.0,20.0,0.46,0.0,0,0,1,bottle gourd,,,1
154,Brinjal,1.4,0.3,4.0,1.3,24.0,18.0,0.37,12.0,0,0,1,brinjal,,,1
155,Broadbeans,4.5,0.1,7.2,2.0,48.0,50.0,1.4,12.0,0,1,1,broadbeans,,0,1
156,Bamboo shoot (tender),3.9,0.5,5.7,2.76,43.0,20.0,0.1,5.0,0,1,1,bamboo shoot (tender),,0,1
157,Broccoli marrow,4.99,0.2,7.1,0.94,50.0,44.86,1.52,59.41,0,1,1,broccoli marrow,,0,1
158,Cauliflower,2.6,0.0,4.0,1.2,30.0,33.0,1.23,56.0,0,0,1,cauliflower,,,1
159,Cho-chomarrow,0.7,0.1,5.7,0.6,27.0,140.0,0.6,4.0,0,1,1,cho-chomarrow,,0,1
160,Cluster beans,3.2,0.4,10.8,3.2,16.0,130.0,1.08,49.0,0,1,1,cluster beans,,0,1
161,Cowpea pods,3.5,0.2,8.1,2.0,48.0,72.0,2.5,14.0,0,1,1,cowpea pods,,0,1
162,Cucumber,0.4,0.1,2.5,0.4,13.0,10.0,0.6,7.0,0,0,1,cucumber,,,1
163,Chattel,2.04,0.18,6.1,1.2,34.0,70.08,0.92,317.69,0,1,1,chattel,,0,1
164,Colocasia stem,0.3,0.3,3.6,0.6,18.0,60.0,0.5,3.0,0,1,1,colocasia stem,,0,1
165,Capsicum Yellow,0.86,0.11,17.2,0.66,73.23,17.05,1.94,115.82,0,1,1,capsicum yellow,,0,1
166,Capsicum Red,0.92,0.1,25.2,0.7,105.38,25.41,2.38,59.34,0,1,1,capsicum red,,0,1
167,Capsicum Green,0.9,0.11,25.0,0.7,103.6,25.1,2.67,48.03,0,1,1,capsicum green,,0,1
168,Chillies Akbare Fresh,3.81,0.62,8.2,0.76,53.42,133.59,4.26,59.4,0,1,1,chillies akbare fresh,,0,1
169,Chillies Akbare Dry,13.97,7.77,52.9,7.34,337.37,154.33,5.43,58.98,0,1,1,chillies akbare dry,,2,3
170,Celery Stalks,0.8,0.1,3.5,1.2,18.0,30.0,4.8,6.0,0,1,1,celery stalks,,0,1
171,Double bean,8.3,0.3,12.3,4.3,85.0,40.0,2.3,22.0,0,1,1,double bean,,0,1
172,Drumstick flower,3.6,0.8,7.1,1.3,50.0,51.0,2.58,59.41,0,1,1,drumstick flower,,0,1
173,Drumstick,2.5,0.1,3.7,4.8,26.0,30.0,0.18,120.0,0,0,1,drumstick,,,1
174,French bean,1.7,0.1,4.5,1.8,26.0,50.0,0.61,24.0,0,1,1,french bean,,0,1
175,Field bean tender,3.8,0.7,6.7,1.8,48.0,210.0,0.83,9.0,0,1,1,field bean tender,,0,1
176,Jack fruit tender,2.6,0.3,9.4,2.8,51.0,30.0,1.7,14.0,1,0,0,jack fruit tender,0,,
177,Knol-knol,1.1,0.2,3.8,1.5,21.0,20.0,0.4,85.0,0,1,1,knol-knol,,0,1
178,Karonda Fresh,1.1,2.9,2.9,1.5,42.0,21.0,1.87,59.43,0,0,0,karonda fresh,,,
179,Ladies finger,1.9,0.2,6.4,1.2,35.0,66.0,0.35,13.0,0,0,1,ladies finger,,,1
180,Leeks,1.8,0.1,17.2,1.3,77.0,50.0,2.3,11.0,0,1,1,leeks,,0,1
181,"Lakooch, Badher raw",1.6,1.2,13.9,2.8,73.0,67.0,3.14,59.38,0,0,0,"lakooch, badher raw",,,
182,"Lotus stem, dry",4.1,1.3,51.4,25.0,234.0,405.0,60.6,3.0,0,1,1,"lotus stem, dry",,1,3
183,Mushroom Botton (Gobre),4.6,0.8,4.3,0.4,43.0,6.0,1.5,59.43,0,1,1,mushroom botton (gobre),,0,1
184,Mushroom Oyster (Kanne),3.0,0.2,5.8,0.9,37.0,128.91,4.03,59.42,0,1,1,mushroom oyster (kanne),,0,1
185,"Mushroom, wild , dry",16.9,2.73,14.1,20.8,134.7,443.62,17.2,59.23,0,1,1,"mushroom, wild , dry",,2,0
186,Mango green,0.7,0.1,10.1,1.2,44.0,10.0,6.33,3.0,1,0,0,mango green,0,,
