sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c,breakfast,lunch,dinner,food_name_clean,breakfast_cluster,lunch_cluster,dinner_cluster
240,Radish Rat- tailed,1.3,0.03,4.3,0.4,72.0,7.0,0.8,0.06,0,1,1,radish rat- tailed,,0,1
241,Sweet Potato( white)),1.2,0.3,28.3,0.7,121.0,46.0,0.21,24.0,0,1,1,sweet potato( white)),,0,1
242,Sweet potato red,1.35,0.5,29.1,1.0,126.0,145.81,2.21,2.42,0,1,1,sweet potato red,,0,1
243,Sweet potato boiled,1.0,0.1,27.4,0.8,114.0,36.0,0.9,11.0,0,1,1,sweet potato boiled,,0,1
244,Turnip red,1.2,0.2,7.7,1.3,37.0,47.7,2.3,59.43,0,1,1,turnip red,,0,1
245,Yam elephant,1.2,0.1,18.4,0.9,79.0,50.0,0.6,59.37,0,1,1,yam elephant,,0,1
246,Yam wild,2.5,0.3,29.1,0.8,110.0,20.0,1.0,1.0,0,1,1,yam wild,,0,1
247,Gundurk(Mustard),37.87,38.5,21.15,15.59,571.53,2488.0,94.3,58.3,0,0,1,gundurk(mustard),,,2
248,Mulako Sinki,12.0,0.7,47.5,14.92,245.0,190.09,7.2,59.11,0,1,1,mulako sinki,,1,3
249,Dried rape leaves,27.0,2.9,40.7,6.7,297.0,3095.0,65.36,58.6,0,1,1,dried rape leaves,,2,0
250,Blackgram+Colocosia tuber Maseura,19.8,0.7,63.8,3.5,341.0,17.6,4.5,59.0,0,1,1,blackgram+colocosia tuber maseura,,2,0
251,Blackgram+Colocosia tuber+Gundruk Maseura,25.3,0.7,57.6,3.7,338.0,33.37,11.6,59.0,0,1,1,blackgram+colocosia tuber+gundruk maseura,,2,0
252,Blackgram+Ashgourd (kubindo) Maseura,30.3,1.0,55.5,2.5,352.0,11.7,1.9,58.98,0,1,1,blackgram+ashgourd (kubindo) maseura,,2,0
253,Blackgram+Garlic Maseura,22.0,1.2,346.0,1.2,346.0,11.9,3.3,58.93,0,1,1,blackgram+garlic maseura,,1,3
254,Blackgram+Cabbage Maseura,22.0,0.1,64.4,2.5,347.0,13.5,5.0,58.99,0,1,1,blackgram+cabbage maseura,,2,0
255,Blackgram+Gardencress (Chamsur) Maseura,26.9,0.1,59.2,2.5,345.0,17.6,6.3,58.99,0,1,1,blackgram+gardencress (chamsur) maseura,,2,0
256,Blackgram+Raddish Maseura,24.6,1.9,58.6,2.7,350.0,13.0,4.5,58.98,0,1,1,blackgram+raddish maseura,,2,0
257,Blackgram+Cauliflower Maseura,24.5,0.6,57.5,2.5,333.0,8.1,3.1,59.01,0,1,1,blackgram+cauliflower maseura,,2,0
258,Apple,0.2,0.5,13.4,1.0,59.0,10.0,0.66,1.0,1,0,0,apple,0,,
259,Amala ( big),0.0,0.2,13.7,3.6,54.0,91.32,2.82,324.1,1,0,0,amala ( big),0,,
260,Amala (small),0.0,0.2,15.34,3.21,58.0,50.0,1.2,562.62,1,0,0,amala (small),0,,
261,Apricot fresh,1.0,0.3,11.6,1.1,53.0,20.0,2.2,6.0,1,0,0,apricot fresh,0,,
262,Apricot dried,1.6,0.7,73.4,2.1,306.0,110.0,4.6,2.0,1,0,0,apricot dried,1,,
263,Avocado,1.7,22.8,0.8,2.78,215.0,10.0,0.7,59.19,1,0,0,avocado,0,,
264,Bael fruit,1.8,0.3,31.8,2.9,137.0,85.0,0.6,8.0,1,0,0,bael fruit,0,,
265,Bael sarbet,1.7,0.1,45.2,3.05,189.0,56.01,4.09,59.21,1,0,0,bael sarbet,0,,
266,Banana ripe,1.2,0.3,27.2,0.4,116.0,17.0,0.37,7.0,1,0,0,banana ripe,0,,
267,Banyan tree figs,1.7,2.0,11.8,8.5,72.0,364.0,9.04,59.33,1,0,0,banyan tree figs,0,,
268,Bamboo fruit,3.9,0.1,34.2,3.9,153.0,10.0,1.5,1.0,1,0,0,bamboo fruit,0,,
269,Cashew fruit,0.2,0.1,12.3,0.9,51.0,10.0,0.2,180.0,1,0,0,cashew fruit,0,,
270,"Dates, dried",2.5,0.4,75.8,3.9,317.0,120.0,7.3,3.0,1,0,0,"dates, dried",1,,
271,"Dates, Fresh",1.2,0.4,33.8,3.7,144.0,22.0,0.96,59.28,1,0,0,"dates, fresh",0,,
272,Figs,1.3,0.2,7.6,2.2,37.0,80.0,1.0,5.0,1,0,0,figs,0,,
273,Grape- pale green variety,0.5,0.3,16.5,2.9,71.0,20.0,0.52,1.0,1,0,0,grape- pale green variety,0,,
274,Grape-Blue variety,0.6,0.4,13.1,2.8,58.0,20.0,0.5,1.0,1,0,0,grape-blue variety,0,,
275,Grapes fruits( Marsh' seedless),1.0,0.1,10.0,2.8,45.0,30.0,0.2,59.42,0,0,0,grapes fruits( marsh' seedless),,,
276,Grape fruit( trumph) juice,0.7,0.1,7.0,2.75,32.0,20.0,0.2,31.0,1,0,0,grape fruit( trumph) juice,0,,
277,"Guava , hill",0.1,0.2,9.0,4.8,38.0,50.0,1.2,15.0,1,0,0,"guava , hill",0,,
278,"Guava, country",0.9,0.3,11.2,5.2,51.0,10.0,0.27,212.0,1,0,0,"guava, country",0,,
279,Ground apple,1.3,0.2,14.4,0.1,64.0,95.05,3.64,59.39,1,0,0,ground apple,0,,
280,Jackfruit   ripe seed,1.9,0.1,19.8,0.9,88.0,20.0,0.56,7.0,1,0,0,jackfruit   ripe seed,0,,
281,Jambu fruit,0.7,0.3,14.0,0.6,62.0,15.0,0.43,18.0,1,0,0,jambu fruit,0,,
282,Kussum fruit,1.5,0.8,9.9,2.0,53.0,15.0,1.92,59.41,1,0,0,kussum fruit,0,,
283,Lapsi,0.5,0.02,17.68,1.4,73.0,218.0,2.7,48.15,1,0,0,lapsi,0,,
284,Lemon(Nibuwa),1.0,0.9,11.1,0.7,57.0,70.0,0.26,39.0,1,0,0,lemon(nibuwa),0,,
285,Lemon sweet,0.7,0.3,7.3,2.8,35.0,30.0,0.7,54.0,1,0,0,lemon sweet,0,,
286,Lemon Juice,1.0,0.9,12.8,3.02,63.0,70.0,0.3,39.0,1,0,0,lemon juice,0,,
287,Lichi,1.1,0.2,13.6,0.5,61.0,10.0,0.7,31.0,1,0,0,lichi,0,,
288,"Lich ,bastard",1.4,0.3,13.1,0.5,61.0,15.0,2.01,59.4,1,0,0,"lich ,bastard",0,,
289,Lime,1.5,1.0,10.9,1.3,59.0,90.0,0.3,63.0,1,0,0,lime,0,,
290,"Lime, sweet, malta",0.7,0.2,7.8,0.6,36.0,30.0,1.0,54.0,1,0,0,"lime, sweet, malta",0,,
291,Lakuch,0.7,1.1,3.3,1.7,66.0,50.0,0.5,135.0,1,0,0,lakuch,0,,
292,Laruat,0.6,0.3,9.6,0.8,43.0,30.0,1.3,0.0,1,0,0,laruat,0,,
293,"Mango, Ripe",0.6,0.4,16.9,0.7,74.0,14.0,1.3,16.0,1,0,0,"mango, ripe",0,,
294,"Mango, Ripe / Bombay",1.2,0.03,21.0,0.07,89.0,82.94,3.65,59.35,1,0,0,"mango, ripe / bombay",0,,
295,"Mango, Ripe / Malda",1.4,0.09,17.9,0.28,78.0,90.7,3.69,59.37,1,0,0,"mango, ripe / malda",0,,
296,"Mango, Ripe / Sukutara",1.0,0.17,16.9,0.17,73.0,87.96,3.59,59.37,1,0,0,"mango, ripe / sukutara",0,,
297,"Mango, Ripe / Dashari",1.1,0.06,17.6,0.18,75.0,87.76,3.61,59.37,1,0,0,"mango, ripe / dashari",0,,
298,"Mango, Ripe / Jarda",0.8,0.03,15.0,0.41,63.0,89.41,3.53,59.39,1,0,0,"mango, ripe / jarda",0,,
299,"Mango, Ripe / Kalkatiya",0.4,0.01,19.0,0.09,80.0,77.93,3.46,59.36,1,0,0,"mango, ripe / kalkatiya",0,,
300,"Mango, Ripe / Fajali",0.9,0.15,15.0,0.1,65.0,89.84,3.55,59.39,1,0,0,"mango, ripe / fajali",0,,
301,"Mango, Ripe / Amrapali",1.5,0.09,15.4,0.08,68.0,95.34,3.68,59.38,1,0,0,"mango, ripe / amrapali",0,,
302,"Mango, Ripe / Chausa",0.77,0.08,17.8,0.34,75.0,84.4,3.54,59.37,1,0,0,"mango, ripe / chausa",0,,
303,"Mango, Ripe / Mallika",0.61,0.09,17.4,0.04,73.0,82.66,3.49,59.37,1,0,0,"mango, ripe / mallika",0,,
304,"Mahua, ripe",1.4,1.6,22.7,2.93,111.0,45.0,0.23,40.0,1,0,0,"mahua, ripe",0,,
305,Mulberry,1.1,0.4,10.3,1.1,49.0,70.0,2.3,12.0,1,0,0,mulberry,0,,
306,Melon water,0.2,0.2,3.3,0.2,16.0,11.0,7.9,1.0,1,0,0,melon water,0,,
307,Neem fruit,1.3,1.0,15.1,0.7,75.0,25.0,2.32,59.38,1,0,0,neem fruit,0,,
308,Junar,3.06,0.05,11.9,3.29,48.0,125.04,4.11,59.4,1,0,0,junar,0,,
309,Orange,0.7,0.2,10.9,0.3,48.0,26.0,0.32,30.0,1,0,0,orange,0,,
310,Orange juice,0.2,0.1,1.9,2.65,9.0,5.0,0.7,64.0,1,0,0,orange juice,0,,
311,Papaya   (ripe),0.6,0.1,7.2,0.8,32.0,17.0,0.5,57.0,1,0,0,papaya   (ripe),0,,
312,Persimon with peel,0.7,0.14,24.85,0.57,102.7,10.71,0.29,46.0,1,0,0,persimon with peel,0,,
313,Persimon without peel,0.9,0.11,25.1,0.85,104.04,11.14,0.27,34.6,1,0,0,persimon without peel,0,,
314,Peaches,1.2,0.3,10.5,1.2,50.0,15.0,2.4,6.0,1,0,0,peaches,0,,
315,Phalsa,1.3,0.9,14.7,1.2,72.0,129.0,3.1,22.0,1,0,0,phalsa,0,,
316,Pinapple,0.4,0.1,10.8,0.5,46.0,20.0,2.42,39.0,1,0,0,pinapple,0,,
317,Pipal tree figs,2.6,1.7,21.2,9.9,110.0,289.0,7.92,59.29,1,0,0,pipal tree figs,0,,
