sn,food_name,protein,fat,carbs,fiber,calories,calcium,iron,vitamin_c
231,Onion   (Small),1.8,0.1,12.6,0.6,59.0,40.0,1.2,2.0
232,Onion   (Big),1.2,0.1,10.4,1.3,47.0,47.0,0.6,11.0
233,Potato,1.6,0.1,22.4,0.6,97.0,10.0,0.46,17.0
234,Potato( Red),1.1,0.52,15.0,0.25,72.0,5.42,0.48,59.39
235,Potato boiled ( without skin),1.9,0.1,16.3,0.4,72.0,7.0,0.8,0.06
236,Potato chips fried,3.6,43.8,45.9,0.9,562.0,18.0,1.6,0.0
237,Rani vyakur,2.3,0.2,22.7,1.1,101.0,24.71,8.38,59.34
238,Radish Pink,0.6,0.3,6.8,0.6,32.0,50.0,0.37,17.0
239,Radish white,0.7,0.1,22.7,9.6,101.0,24.7,0.4,15.0
240,Radish Rat- tailed,1.3,0.03,4.3,0.4,72.0,7.0,0.8,0.06
241,Sweet Potato( white)),1.2,0.3,28.3,0.7,121.0,46.0,0.21,24.0
242,Sweet potato red,1.35,0.5,29.1,1.0,126.0,145.81,2.21,2.42
243,Sweet potato boiled,1.0,0.1,27.4,0.8,114.0,36.0,0.9,11.0
244,Turnip red,1.2,0.2,7.7,1.3,37.0,47.7,2.3,59.43
245,Yam elephant,1.2,0.1,18.4,0.9,79.0,50.0,0.6,59.37
246,Yam wild,2.5,0.3,29.1,0.8,110.0,20.0,1.0,1.0
247,Gundurk(Mustard),37.87,38.5,21.15,15.59,571.53,2488.0,94.3,58.3
248,Mulako Sinki,12.0,0.7,47.5,14.92,245.0,190.09,7.2,59.11
249,Dried rape leaves,27.0,2.9,40.7,6.7,297.0,3095.0,65.36,58.6
250,Blackgram+Colocosia tuber Maseura,19.8,0.7,63.8,3.5,341.0,17.6,4.5,59.0
251,Blackgram+Colocosia tuber+Gundruk Maseura,25.3,0.7,57.6,3.7,338.0,33.37,11.6,59.0
252,Blackgram+Ashgourd (kubindo) Maseura,30.3,1.0,55.5,2.5,352.0,11.7,1.9,58.98
253,Blackgram+Garlic Maseura,22.0,1.2,346.0,1.2,346.0,11.9,3.3,58.93
254,Blackgram+Cabbage Maseura,22.0,0.1,64.4,2.5,347.0,13.5,5.0,58.99
255,Blackgram+Gardencress (Chamsur) Maseura,26.9,0.1,59.2,2.5,345.0,17.6,6.3,58.99
256,Blackgram+Raddish Maseura,24.6,1.9,58.6,2.7,350.0,13.0,4.5,58.98
